model,features,accuracy,train_time
B_top_10,10,0.9978170271879341,3.543027639389038
B_top_15,15,0.9981742409208176,3.5616042613983154
B_top_20,20,0.9986108354832308,4.160797834396362
B_top_30,30,0.9988886683865846,4.6825995445251465
